aircraft carrier,H,a large warship with a deck from which aircraft can take off and land.
airplane,E,a powered flying vehicle with fixed wings and a weight greater than that of the air it displaces
alarm clock,M,"a device that can be made to sound at the time set in advance, used to wake someone up."
ambulance,M,"a vehicle equipped for taking sick or injured people to and from hospital, especially in emergencies."
angel,M,"a spiritual being believed to act as an attendant, agent, or messenger of God, conventionally represented in human form with wings and a long robe."
animal migration,H,seasonal movement from one region to another.
ant,E,"a small insect, typically wingless, and living in a complex social colony with one or more breeding queens."
anvil,E,"a heavy iron block with a flat top and concave sides, on which metal can be hammered and shaped."
apple,E,"the round fruit of a tree, which typically has thin green or red skin and crisp flesh."
arm,M,each of the two upper limbs of the human body from the shoulder to the hand.
asparagus,H,"a tall vegetable with fine feathery foliage, cultivated for its edible shoots."
axe,E,"a tool used for chopping wood, typically of iron with a steel edge and wooden handle."
backpack,E,"a bag with shoulder straps which allow it to be carried on someone's back, typically made of a strong, waterproof material and widely used by hikers."
banana,E,a long curved fruit which grows in clusters and has soft creamy flesh and yellow skin when ripe.
bandage,M,a strip of woven material used to bind up a wound or to protect an injured part of the body.
barn,H,"a large farm building used for storing grain, hay, or straw or for housing livestock."
baseball,H,a ball game played between two teams of nine on a diamond-shaped circuit of four bases.
baseball bat,M,"an implement with a handle and a solid surface, typically of wood, used for hitting a ball"
basket,M,"a container used to hold or carry things, typically made from interwoven strips of cane or wire."
basketball,H,a game played between two teams of five players in which goals are scored by throwing a ball through a netted hoop fixed at each end of the court.
bat,M,"a mainly nocturnal mammal capable of sustained flight, with membranous wings that extend between the fingers and limbs."
bathtub,M,"a large container for water, used for immersing and washing the body."
beach,H,"a pebbly or sandy shore, especially by the sea between high and low water marks."
bear,M,"a large, heavy mammal that walks on the soles of its feet, having thick fur and a very short tail."
beard,M,a growth of hair on the chin and lower cheeks of a man's face.
bed,E,"a piece of furniture for sleep or rest, typically a framework with a mattress."
bee,E,"a stinging winged insect which collects nectar and pollen, produces wax and honey, and lives in large communities."
belt,E,"a strip of leather or other material worn, typically round the waist, to support or hold in clothes or to carry weapons."
bench,E,"a long seat for several people, typically made of wood or stone."
bicycle,E,"a vehicle consisting of two wheels held in a frame one behind the other, propelled by pedals and steered with handlebars attached to the front wheel."
binoculars,E,"an optical instrument with a lens for each eye, used for viewing distant objects."
bird,E,"a warm-blooded egg-laying vertebrate animal distinguished by the possession of feathers, wings, a beak, and typically by being able to fly."
birthday cake,E,"an item of soft sweet food made from a mixture of flour, fat, eggs, sugar, and other ingredients, baked and sometimes iced or decorated."
blackberry,H,an edible soft fruit consisting of a cluster of soft purple-black drupelets.
blueberry,H,a small sweet blue-black edible berry which grows in clusters on North American shrubs related to the bilberry.
book,E,a written or printed work consisting of pages glued or sewn together along one side and bound in covers.
boomerang,E,a curved flat piece of wood that can be thrown so that it will return to the thrower.
bottlecap,E,a device for closing or sealing a bottle
bowtie,E,an item of clothing worn around the neck in the form of a bow or a knot with two loops.
bracelet,E,"an ornamental band, hoop, or chain worn on the wrist or arm."
brain,E,"an organ of soft nervous tissue contained in the skull of vertebrates, functioning as the coordinating centre of sensation and intellectual activity."
bread,E,"food made of flour, water, and yeast mixed together and baked."
bridge,E,"a structure carrying a road, path, railway, etc. across a river, road, or other obstacle."
broccoli,M,a cultivated variety of cabbage bearing heads of green or purplish flower buds that are eaten as a vegetable.
broom,E,"a long-handled brush of bristles or twigs, used for sweeping."
bucket,E,"a roughly cylindrical open container with a handle, made of metal or plastic and used to hold and carry liquids."
bulldozer,M,a powerful track-laying tractor with caterpillar tracks and a broad curved upright blade at the front for clearing ground.
bus,M,"a large motor vehicle carrying passengers by road, typically one serving the public on a fixed route and for a fare."
bush,E,a shrub or clump of shrubs with stems of moderate length.
butterfly,E,"a nectar-feeding insect with two pairs of large, typically brightly coloured wings that are covered with microscopic scales."
cactus,E,"a succulent plant with a thick fleshy stem which typically bears spines, lacks leaves, and has brilliantly coloured flowers."
cake,E,"an item of soft sweet food made from a mixture of flour, fat, eggs, sugar, and other ingredients, baked and sometimes iced or decorated."
calculator,E,"something used for making mathematical calculations, in particular a small electronic device with a keyboard and a visual display."
calendar,M,"a chart or series of pages showing the days, weeks, and months of a particular year, or giving particular seasonal information."
camel,M,"a large, long-necked ungulate mammal of arid country, with long slender legs, broad cushioned feet, and either one or two humps on the back."
camera,M,"a device for recording visual images in the form of photographs, film, or video signals."
camouflage,H,"the disguising of military personnel, equipment, and installations by painting or covering them to make them blend in with their surroundings."
campfire,M,"an open-air fire in a camp, used for cooking and as a focal point for social activity."
candle,E,a cylinder or block of wax or tallow with a central wick which is lit to produce light as it burns.
cannon,E,"a large, heavy piece of artillery, typically mounted on wheels, formerly used in warfare."
canoe,E,"a light, narrow boat with pointed ends and no keel, propelled with a paddle or paddles"
car,E,a four-wheeled road vehicle that is powered by an engine and is able to carry a small number of people.
carrot,E,a tapering orange-coloured root eaten as a vegetable.
castle,E,"a large building, typically of the medieval period, fortified against attack with thick walls, battlements, towers, and in many cases a moat."
cat,E,"a small domesticated carnivorous mammal with soft fur, a short snout, and retractable claws. It is widely kept as a pet"
ceiling fan,M,an apparatus attached to the ceiling with rotating blades that creates a current of air for cooling or ventilation.
cello,H,"a bass instrument of the violin family, held upright on the floor between the legs of the seated player."
cell phone,H,"a phone with access to a cellular radio system so it can be used over a wide area, without a physical connection to a network"
chair,E,"a separate seat for one person, typically with a back and four legs."
chandelier,E,"a large, decorative hanging light with branches for several light bulbs or candles."
church,M,a building used for public Christian worship.
circle,E,a round plane figure whose boundary (the circumference) consists of points equidistant from a fixed point (the centre).
clarinet,H,"a woodwind instrument with a single-reed mouthpiece, a cylindrical tube with a flared end, and holes stopped by keys."
clock,E,"a device for measuring time, indicating hours, minutes, and sometimes seconds by hands on a round dial or by displayed figures."
cloud,E,"a visible mass of condensed watery vapour floating in the atmosphere, typically high above the general level of the ground."
coffee cup,M,"a small bowl-shaped container for drinking from, typically having a handle"
compass,M,an instrument containing a magnetized pointer which shows the direction of magnetic north and bearings from it.
computer,M,"an electronic device for storing and processing data, typically in binary form, according to instructions given to it in a variable program."
cookie,M,"a sweet biscuit having a fairly soft, chewy texture and typically containing pieces of chocolate or fruit."
cooler,M,a container for keeping food or bottles cool.
couch,M,a long upholstered piece of furniture for several people to sit on.
cow,M,"a fully grown female animal of a domesticated breed of ox, kept to produce milk or beef."
crab,M,"a crustacean, found chiefly on seashores, with stalked eyes, and five pairs of legs, the first pair of which are modified as pincers."
crayon,M,"a pencil or stick of coloured chalk or wax, used for drawing."
crocodile,M,"a large predatory semiaquatic reptile with long jaws, long tail, short legs, and a horny textured skin."
crown,E,"a circular ornamental headdress worn by a monarch as a symbol of authority, usually made of or decorated with precious metals and jewels."
cruise ship,H,"a large ship that carries people on voyages for pleasure, typically calling in at several places."
cup,M,"a small bowl-shaped container for drinking from, typically having a handle."
diamond,E,"a precious stone consisting of a clear and colourless crystalline form of pure carbon, the hardest naturally occurring substance."
dishwasher,H,a machine for washing dishes automatically.
diving board,H,"an elevated board projecting over a swimming pool or other body of water, from which people dive or jump in."
dog,M,"a domesticated carnivorous mammal that typically has a long snout, an acute sense of smell, non-retractable claws, and a barking or howling voice."
dolphin,M,a small gregarious toothed whale that typically has a beaklike snout and a curved fin on the back.
donut,E,"a small fried cake of sweetened dough, typically in the shape of a ball or ring."
door,E,"a hinged, sliding, or revolving barrier at the entrance to a building, room, or vehicle, or in the framework of a cupboard."
dragon,M,a mythical fire breathing beast like a giant reptile.
dresser,H,a sideboard with shelves above for storing and displaying plates and kitchen utensils.
drill,M,"a tool or machine with a rotating cutting tip or reciprocating hammer or chisel, used for making holes."
drums,E,"a percussion instrument sounded by being struck, typically cylindrical, barrel-shaped, or bowl-shaped, with a taut membrane over one or both ends."
duck,E,"waterbird with a broad blunt bill, short legs, webbed feet, and a waddling gait."
